         0         1       2           3           4          5         6         7       8          9       10        11        12        13          14     15        16         17      18         19        20        21        22            23    24     25    26        27    28       29    30      31      32    33      34    35    36          37
0       Mr.       and    Mrs.     Dursley           ,         of    number      four       ,     Privet   Drive         ,      were     proud          to    say      that       they    were  perfectly    normal         ,     thank           you  very  much.  None      None  None     None  None    None    None  None    None  None  None        None
1      None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
2      אדון     וגברת   דרסלי           ,       דיירי        דרך    פריווט      מספר    ארבע          ,    ידעו     לדווח    בגאווה       שהם     נורמלים  לגמרי     ותודה    ששאלתם.    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
3      They      were     the        last      people      you'd    expect        to      be   involved      in  anything   strange        or  mysterious      ,   because       they    just     didn't      hold      with      such     nonsense.  None   None  None      None  None     None  None    None    None  None    None  None  None        None
4      None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
5        לא      יעלה      על        הדעת          כי        מכל    האנשים     בעולם   דווקא         הם  יסתבכו   בפרשיות    מוזרות        או   מיסתוריות      ,      והרי         הם    פשוט         לא    סובלים    שטויות      מסוג           זה.  None   None  None      None  None     None  None    None    None  None    None  None  None        None
6       Mr.   Dursley     was         the    director         of         a      firm  called  Grunnings       ,     which      made   drills.        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
7      None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
8        מר     דרסלי     היה        מנכל          של       חברה       בשם  גראנינגס  לייצור    מקדחות.    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
9        He       was       a         big           ,      beefy       man      with  hardly        any    neck         ,  although        he         did   have         a       very   large  mustache.      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
10     None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
11      הוא       היה     איש         גדל       ממדים          ,     בשרני         ,   וכמעט       נטול   צוואר     למרות    שדווקא       היה          לו    שפם       שמן      למדי.    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
12     Mrs.   Dursley     was        thin         and     blonde       and       had  nearly      twice     the     usual    amount        of        neck      ,     which       came      in       very    useful        as       she         spent    so   much    of       her  time  craning  over  garden  fences     ,  spying    on   the  neighbors.
13     None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
14     גברת     דרסלי    היתה         רזה  ובלונדינית          ,       ולה       היה   צוואר       ארוך      פי     שניים    מהאורך    המקובל           ,     מה      שהיה     שימושי     מאד          ,        כי       רוב      זמנה           עבר  עליה  בהצצה   מעל     גדרות   כדי     לרגל   אחר  השכנים    שלה.  None    None  None  None        None
15      The  Dursleys     had           a       small        son    called    Dudley     and         in   their   opinion     there       was          no  finer       boy  anywhere.    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
16     None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
17  לדרסלים       היה   תינוק        ששמו       דאדלי          ,  ובעיניהם        לא     היה      בעולם     ילד     מוצלח     ממנו.      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
18      The  Dursleys     had  everything        they     wanted         ,       but    they       also     had         a    secret         ,         and  their  greatest       fear     was       that  somebody     would  discover           it.  None   None  None      None  None     None  None    None    None  None    None  None  None        None
19     None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
20      דבר        לא     היה         חסר    לדרסלים.       אולם       היה       להם     סוד          ,     והם       חיו      בפחד    שמישהו        יגלה  אותו.      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
21     They    didn't   think        they       could       bear        it        if  anyone      found     out     about       the  Potters.        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
22     None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
23       הם      חשבו  שחייהם          לא        יהיו       חיים      ברגע    שמישהו    ישמע         על   משפחת     פוטר.      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
24     Mrs.    Potter     was        Mrs.   Dursley's     sister         ,       but    they     hadn't     met       for   several     years           ;   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
25     None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
26     גברת      פוטר    היתה       אחותה          של       גברת     דרסלי         ,     אבל       עברו    שנים      רבות       מאז     נפגשו    לאחרונה.   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
27       in      fact       ,        Mrs.     Dursley  pretended       she    didn't    have          a  sister         ,   because       her      sister    and       her       good     for    nothing   husband      were        as  unDursleyish    as     it   was  possible    to      be.  None    None    None  None    None  None  None        None
28     None      None    None        None        None       None      None      None    None       None    None      None      None      None        None   None      None       None    None       None      None      None      None          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
29    למעשה         ,    גברת      דארסלי        נהגה     להעמיד      פנים     כאילו    בכלל        אין      לה      אחות         ,        כי       אחותה  ובעלה  הכלומניק        היו  האנשים        הכי        לא  דארסליים    בעולם.          None  None   None  None      None  None     None  None    None    None  None    None  None  None        None
