,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,Mr.,and,Mrs.,Dursley,",",of,number,four,",",Privet,Drive,",",were,proud,to,say,that,they,were,perfectly,normal,",",thank,you,very,much.,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,אדון,וגברת,דרסלי,",",דיירי,דרך,פריווט,מספר,ארבע,",",ידעו,לדווח,בגאווה,שהם,נורמלים,לגמרי,ותודה,ששאלתם.,,,,,,,,,,,,,,,,,,,,
3,They,were,the,last,people,you'd,expect,to,be,involved,in,anything,strange,or,mysterious,",",because,they,just,didn't,hold,with,such,nonsense.,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,לא,יעלה,על,הדעת,כי,מכל,האנשים,בעולם,דווקא,הם,יסתבכו,בפרשיות,מוזרות,או,מיסתוריות,",",והרי,הם,פשוט,לא,סובלים,שטויות,מסוג,זה.,,,,,,,,,,,,,,
6,Mr.,Dursley,was,the,director,of,a,firm,called,Grunnings,",",which,made,drills.,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,מר,דרסלי,היה,מנכל,של,חברה,בשם,גראנינגס,לייצור,מקדחות.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,He,was,a,big,",",beefy,man,with,hardly,any,neck,",",although,he,did,have,a,very,large,mustache.,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,הוא,היה,איש,גדל,ממדים,",",בשרני,",",וכמעט,נטול,צוואר,למרות,שדווקא,היה,לו,שפם,שמן,למדי.,,,,,,,,,,,,,,,,,,,,
12,Mrs.,Dursley,was,thin,and,blonde,and,had,nearly,twice,the,usual,amount,of,neck,",",which,came,in,very,useful,as,she,spent,so,much,of,her,time,craning,over,garden,fences,",",spying,on,the,neighbors.
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,גברת,דרסלי,היתה,רזה,ובלונדינית,",",ולה,היה,צוואר,ארוך,פי,שניים,מהאורך,המקובל,",",מה,שהיה,שימושי,מאד,",",כי,רוב,זמנה,עבר,עליה,בהצצה,מעל,גדרות,כדי,לרגל,אחר,השכנים,שלה.,,,,,
15,The,Dursleys,had,a,small,son,called,Dudley,and,in,their,opinion,there,was,no,finer,boy,anywhere.,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,לדרסלים,היה,תינוק,ששמו,דאדלי,",",ובעיניהם,לא,היה,בעולם,ילד,מוצלח,ממנו.,,,,,,,,,,,,,,,,,,,,,,,,,
18,The,Dursleys,had,everything,they,wanted,",",but,they,also,had,a,secret,",",and,their,greatest,fear,was,that,somebody,would,discover,it.,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,דבר,לא,היה,חסר,לדרסלים.,אולם,היה,להם,סוד,",",והם,חיו,בפחד,שמישהו,יגלה,אותו.,,,,,,,,,,,,,,,,,,,,,,
21,They,didn't,think,they,could,bear,it,if,anyone,found,out,about,the,Potters.,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,הם,חשבו,שחייהם,לא,יהיו,חיים,ברגע,שמישהו,ישמע,על,משפחת,פוטר.,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Mrs.,Potter,was,Mrs.,Dursley's,sister,",",but,they,hadn't,met,for,several,years,;,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,גברת,פוטר,היתה,אחותה,של,גברת,דרסלי,",",אבל,עברו,שנים,רבות,מאז,נפגשו,לאחרונה.,,,,,,,,,,,,,,,,,,,,,,,
27,in,fact,",",Mrs.,Dursley,pretended,she,didn't,have,a,sister,",",because,her,sister,and,her,good,for,nothing,husband,were,as,unDursleyish,as,it,was,possible,to,be.,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,למעשה,",",גברת,דארסלי,נהגה,להעמיד,פנים,כאילו,בכלל,אין,לה,אחות,",",כי,אחותה,ובעלה,הכלומניק,היו,האנשים,הכי,לא,דארסליים,בעולם.,,,,,,,,,,,,,,,
